method,model_name,task_name,train_subset_size,seed,accuracy,majority_baseline,collapsed,trainable_parameters,peft_parameters,classifier_parameters,ia3_mode,elapsed_seconds,learning_rate,batch_size,max_length,warmup_ratio,max_grad_norm,bf16,num_train_epochs,seed_semantics
bitfit,bert-base-uncased,mrpc,80,31,0.6838235294117647,0.6838235294117647,False,104450,102912,1538,,0.8,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit,bert-base-uncased,mrpc,80,37,0.6838235294117647,0.6838235294117647,False,104450,102912,1538,,0.9,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit,bert-base-uncased,mrpc,80,41,0.6838235294117647,0.6838235294117647,False,104450,102912,1538,,0.9,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit,bert-base-uncased,mrpc,320,31,0.6838235294117647,0.6838235294117647,False,104450,102912,1538,,3.5,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit,bert-base-uncased,mrpc,320,37,0.6838235294117647,0.6838235294117647,False,104450,102912,1538,,2.9,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit,bert-base-uncased,mrpc,320,41,0.6838235294117647,0.6838235294117647,False,104450,102912,1538,,3.9,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit,bert-base-uncased,mrpc,1280,31,0.7524509803921569,0.6838235294117647,False,104450,102912,1538,,11.6,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit,bert-base-uncased,mrpc,1280,37,0.7181372549019608,0.6838235294117647,False,104450,102912,1538,,12.2,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit,bert-base-uncased,mrpc,1280,41,0.7401960784313726,0.6838235294117647,False,104450,102912,1538,,11.5,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit_ia3,bert-base-uncased,mrpc,80,31,0.6838235294117647,0.6838235294117647,False,132100,130560,1540,peft_native,1.2,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit_ia3,bert-base-uncased,mrpc,80,37,0.6838235294117647,0.6838235294117647,False,132100,130560,1540,peft_native,1.4,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit_ia3,bert-base-uncased,mrpc,80,41,0.6838235294117647,0.6838235294117647,False,132100,130560,1540,peft_native,1.2,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit_ia3,bert-base-uncased,mrpc,320,31,0.6838235294117647,0.6838235294117647,False,132100,130560,1540,peft_native,4.3,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit_ia3,bert-base-uncased,mrpc,320,37,0.6838235294117647,0.6838235294117647,False,132100,130560,1540,peft_native,4.4,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit_ia3,bert-base-uncased,mrpc,320,41,0.6838235294117647,0.6838235294117647,False,132100,130560,1540,peft_native,4.7,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit_ia3,bert-base-uncased,mrpc,1280,31,0.7598039215686274,0.6838235294117647,False,132100,130560,1540,peft_native,18.0,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit_ia3,bert-base-uncased,mrpc,1280,37,0.7230392156862745,0.6838235294117647,False,132100,130560,1540,peft_native,19.5,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
bitfit_ia3,bert-base-uncased,mrpc,1280,41,0.7450980392156863,0.6838235294117647,False,132100,130560,1540,peft_native,17.9,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,mrpc,80,31,0.6838235294117647,0.6838235294117647,False,29186,27648,1538,peft_native,1.0,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,mrpc,80,37,0.6838235294117647,0.6838235294117647,False,29186,27648,1538,peft_native,1.0,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,mrpc,80,41,0.6838235294117647,0.6838235294117647,False,29186,27648,1538,peft_native,1.1,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,mrpc,320,31,0.6838235294117647,0.6838235294117647,False,29186,27648,1538,peft_native,4.3,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,mrpc,320,37,0.6838235294117647,0.6838235294117647,False,29186,27648,1538,peft_native,3.7,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,mrpc,320,41,0.6838235294117647,0.6838235294117647,False,29186,27648,1538,peft_native,4.7,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,mrpc,1280,31,0.6838235294117647,0.6838235294117647,False,29186,27648,1538,peft_native,14.8,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,mrpc,1280,37,0.6838235294117647,0.6838235294117647,False,29186,27648,1538,peft_native,15.3,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,mrpc,1280,41,0.6838235294117647,0.6838235294117647,False,29186,27648,1538,peft_native,14.7,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora,bert-base-uncased,mrpc,80,31,0.6838235294117647,0.6838235294117647,False,296450,294912,1538,,1.2,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora,bert-base-uncased,mrpc,80,37,0.6838235294117647,0.6838235294117647,False,296450,294912,1538,,1.2,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
